series,t_seconds,value
proactive (this run),1574.798,0.992335
proactive (this run),1583.072,0.992375
proactive (this run),1592.742,0.992375
proactive (this run),1600.845,0.992382
proactive (this run),1605.247,0.992365
proactive (this run),1612.672,0.992355
proactive (this run),1616.824,0.992371
proactive (this run),1624.809,0.992377
proactive (this run),1633.816,0.992384
proactive (this run),1638.243,0.992363
proactive (this run),1648.593,0.992347
proactive (this run),1658.383,0.992331
proactive (this run),1666.619,0.992324
proactive (this run),1671.472,0.992321
proactive (this run),1680.972,0.992295
proactive (this run),1689.372,0.992289
proactive (this run),1696.015,0.992277
proactive (this run),1699.994,0.992330
proactive (this run),1707.463,0.992326
proactive (this run),1715.386,0.992316
proactive (this run),1722.191,0.992326
proactive (this run),1734.448,0.992330
proactive (this run),1743.842,0.992342
proactive (this run),1750.982,0.992348
proactive (this run),1753.998,0.992331
proactive (this run),1762.297,0.992307
proactive (this run),1769.603,0.992313
proactive (this run),1778.998,0.992318
proactive (this run),1783.018,0.992330
proactive (this run),1789.897,0.992331
proactive (this run),1800.090,0.992342
proactive (this run),1808.451,0.992358
proactive (this run),1821.959,0.992377
proactive (this run),1827.534,0.992377
proactive (this run),1831.347,0.992365
proactive (this run),1841.133,0.992365
proactive (this run),1845.683,0.992371
proactive (this run),1853.918,0.992377
proactive (this run),1864.546,0.992389
proactive (this run),1868.881,0.992348
proactive (this run),1879.886,0.992347
proactive (this run),1889.592,0.992324
proactive (this run),1899.811,0.992324
proactive (this run),1905.777,0.992302
proactive (this run),1914.752,0.992282
proactive (this run),1925.842,0.992268
proactive (this run),1936.002,0.992295
proactive (this run),1939.527,0.992330
proactive (this run),1947.009,0.992324
proactive (this run),1956.120,0.992324
proactive (this run),1962.979,0.992336
proactive (this run),1969.591,0.992330
proactive (this run),1976.029,0.992342
proactive (this run),1983.210,0.992347
proactive (this run),1986.330,0.992331
proactive (this run),1995.116,0.992337
proactive (this run),2004.411,0.992311
proactive (this run),2012.085,0.992311
proactive (this run),2016.216,0.992331
proactive (this run),2022.505,0.992332
proactive (this run),2032.505,0.992342
proactive (this run),2041.260,0.992358
proactive (this run),2054.680,0.992377
proactive (this run),2062.926,0.992377
proactive (this run),2066.956,0.992365
proactive (this run),2076.070,0.992365
proactive (this run),2079.561,0.992371
proactive (this run),2087.138,0.992377
proactive (this run),2098.669,0.992389
proactive (this run),2103.880,0.992348
proactive (this run),2113.411,0.992347
proactive (this run),2120.561,0.992331
proactive (this run),2129.540,0.992324
proactive (this run),2134.716,0.992321
proactive (this run),2142.586,0.992295
proactive (this run),2151.498,0.992289
proactive (this run),2159.463,0.992277
proactive (this run),2162.195,0.992311
proactive (this run),2168.901,0.992326
proactive (this run),2178.370,0.992316
proactive (this run),2185.121,0.992326
proactive (this run),2192.107,0.992326
proactive (this run),2200.501,0.992331
proactive (this run),2206.646,0.992347
proactive (this run),2210.093,0.992332
proactive (this run),2218.784,0.992337
proactive (this run),2225.101,0.992311
proactive (this run),2232.877,0.992311
proactive (this run),2236.506,0.992323
proactive (this run),2243.361,0.992332
proactive (this run),2252.451,0.992342
proactive (this run),2262.555,0.992358
proactive (this run),2273.669,0.992377
proactive (this run),2280.655,0.992377
proactive (this run),2286.316,0.992365
proactive (this run),2294.887,0.992365
proactive (this run),2298.909,0.992371
proactive (this run),2307.064,0.992377
proactive (this run),2321.619,0.992389
proactive (this run),2324.962,0.992348
proactive (this run),2335.578,0.992342
proactive (this run),2343.155,0.992324
proactive (this run),2351.473,0.992324
proactive (this run),2356.678,0.992324
proactive (this run),2365.593,0.992295
proactive (this run),2375.161,0.992289
proactive (this run),2383.802,0.992277
proactive (this run),2388.706,0.992330
proactive (this run),2396.602,0.992324
proactive (this run),2406.165,0.992324
proactive (this run),2412.880,0.992336
proactive (this run),2420.600,0.992330
proactive (this run),2426.601,0.992342
proactive (this run),2432.164,0.992347
proactive (this run),2435.695,0.992331
proactive (this run),2446.993,0.992337
proactive (this run),2452.894,0.992311
proactive (this run),2461.202,0.992311
proactive (this run),2464.734,0.992323
proactive (this run),2472.213,0.992332
proactive (this run),2481.195,0.992342
proactive (this run),2490.093,0.992358
proactive (this run),2501.757,0.992377
proactive (this run),2510.253,0.992377
proactive (this run),2514.490,0.992365
proactive (this run),2522.856,0.992365
proactive (this run),2527.795,0.992371
proactive (this run),2536.955,0.992377
proactive (this run),2552.332,0.992375
proactive (this run),2556.121,0.992348
proactive (this run),2568.201,0.992342
proactive (this run),2579.179,0.992335
proactive (this run),2590.611,0.992303
proactive (this run),2601.138,0.992287
proactive (this run),2608.306,0.992282
proactive (this run),2621.315,0.992287
proactive (this run),2632.549,0.992287
proactive (this run),2635.994,0.992328
proactive (this run),2644.655,0.992335
proactive (this run),2660.119,0.992335
proactive (this run),2668.701,0.992358
proactive (this run),2678.467,0.992342
proactive (this run),2687.390,0.992342
proactive (this run),2694.195,0.992349
proactive (this run),2697.958,0.992295
proactive (this run),2707.023,0.992308
proactive (this run),2713.960,0.992313
proactive (this run),2724.257,0.992318
proactive (this run),2728.836,0.992330
proactive (this run),2740.036,0.992342
proactive (this run),2748.240,0.992342
proactive (this run),2757.641,0.992354
proactive (this run),2770.442,0.992375
proactive (this run),2782.195,0.992382
proactive (this run),2790.513,0.992365
proactive (this run),2798.253,0.992355
proactive (this run),2802.465,0.992375
proactive (this run),2811.194,0.992382
proactive (this run),2825.019,0.992375
proactive (this run),2830.528,0.992342
proactive (this run),2843.122,0.992335
proactive (this run),2850.967,0.992335
proactive (this run),2861.747,0.992328
proactive (this run),2867.416,0.992302
proactive (this run),2878.288,0.992282
proactive (this run),2889.360,0.992268
proactive (this run),2901.417,0.992295
proactive (this run),2904.979,0.992328
proactive (this run),2916.416,0.992335
proactive (this run),2927.530,0.992342
proactive (this run),2934.861,0.992342
proactive (this run),2942.737,0.992342
proactive (this run),2951.162,0.992342
proactive (this run),2957.085,0.992348
proactive (this run),2961.161,0.992331
proactive (this run),2971.305,0.992307
proactive (this run),2981.310,0.992313
proactive (this run),2992.217,0.992318
proactive (this run),2996.248,0.992330
proactive (this run),3003.832,0.992342
proactive (this run),3015.449,0.992342
proactive (this run),3025.438,0.992375
proactive (this run),3043.073,0.992381
proactive (this run),3054.485,0.992397
proactive (this run),3058.196,0.992365
proactive (this run),3070.157,0.992358
proactive (this run),3075.430,0.992375
proactive (this run),3084.052,0.992382
proactive (this run),3103.434,0.992373
proactive (this run),3108.591,0.992342
proactive (this run),3121.161,0.992350
proactive (this run),3130.680,0.992342
proactive (this run),3144.327,0.992286
proactive (this run),3150.042,0.992287
proactive (this run),3160.093,0.992282
proactive (this run),3171.358,0.992287
proactive (this run),3179.279,0.992295
proactive (this run),3182.893,0.992328
proactive (this run),3191.476,0.992335
proactive (this run),3200.451,0.992324
proactive (this run),3210.160,0.992342
proactive (this run),3217.639,0.992330
proactive (this run),3224.622,0.992342
proactive (this run),3233.571,0.992348
proactive (this run),3236.904,0.992331
proactive (this run),3247.604,0.992307
proactive (this run),3257.031,0.992313
proactive (this run),3266.831,0.992318
proactive (this run),3271.538,0.992330
proactive (this run),3278.351,0.992342
proactive (this run),3289.354,0.992342
proactive (this run),3298.252,0.992375
proactive (this run),3312.482,0.992375
proactive (this run),3324.549,0.992382
proactive (this run),3328.031,0.992375
proactive (this run),3337.640,0.992355
proactive (this run),3342.293,0.992375
proactive (this run),3350.727,0.992382
proactive (this run),3369.032,0.992375
proactive (this run),3373.762,0.992342
proactive (this run),3387.066,0.992335
proactive (this run),3402.330,0.992314
proactive (this run),3413.876,0.992286
proactive (this run),3419.130,0.992287
proactive (this run),3431.099,0.992256
proactive (this run),3441.550,0.992287
proactive (this run),3449.457,0.992287
proactive (this run),3452.653,0.992328
proactive (this run),3464.338,0.992335
proactive (this run),3474.435,0.992335
proactive (this run),3480.872,0.992342
proactive (this run),3495.928,0.992342
proactive (this run),3507.096,0.992342
proactive (this run),3514.962,0.992311
proactive (this run),3518.361,0.992295
proactive (this run),3532.782,0.992308
