series,t_seconds,value
spillover,1663.337,0.992331
spillover,1671.867,0.992307
spillover,1677.792,0.992311
spillover,1684.945,0.992311
spillover,1689.616,0.992323
spillover,1700.612,0.992331
spillover,1707.652,0.992342
spillover,1723.469,0.992375
spillover,1733.769,0.992375
spillover,1742.966,0.992382
spillover,1754.675,0.992373
spillover,1760.210,0.992389
spillover,1765.704,0.992395
spillover,1779.470,0.992409
spillover,1784.892,0.992362
spillover,1802.824,0.992355
spillover,1812.023,0.992335
spillover,1821.139,0.992303
spillover,1826.659,0.992287
spillover,1834.118,0.992282
spillover,1840.593,0.992268
spillover,1849.846,0.992295
spillover,1853.408,0.992330
spillover,1864.078,0.992324
spillover,1872.945,0.992324
spillover,1882.445,0.992336
spillover,1891.988,0.992330
spillover,1899.262,0.992342
spillover,1905.308,0.992348
spillover,1909.917,0.992330
spillover,1918.985,0.992307
spillover,1929.259,0.992313
spillover,1936.652,0.992318
spillover,1941.151,0.992331
spillover,1948.904,0.992331
spillover,1958.261,0.992342
spillover,1970.846,0.992375
spillover,1982.894,0.992375
spillover,1990.951,0.992382
spillover,1996.074,0.992365
spillover,2006.377,0.992355
spillover,2011.223,0.992375
spillover,2019.350,0.992382
spillover,2029.794,0.992389
spillover,2034.007,0.992348
spillover,2044.985,0.992342
spillover,2055.448,0.992324
spillover,2069.641,0.992328
spillover,2075.501,0.992302
spillover,2086.203,0.992282
spillover,2096.182,0.992287
spillover,2105.060,0.992287
spillover,2108.368,0.992328
spillover,2117.933,0.992335
spillover,2127.110,0.992324
spillover,2135.023,0.992336
spillover,2141.442,0.992330
spillover,2149.902,0.992342
spillover,2155.780,0.992347
spillover,2158.816,0.992331
spillover,2170.118,0.992307
spillover,2178.043,0.992313
spillover,2184.971,0.992311
spillover,2188.944,0.992331
spillover,2198.419,0.992331
spillover,2211.758,0.992342
spillover,2219.882,0.992375
spillover,2231.965,0.992375
spillover,2240.598,0.992382
spillover,2243.846,0.992365
spillover,2250.503,0.992355
spillover,2255.264,0.992371
spillover,2264.735,0.992377
spillover,2275.517,0.992389
spillover,2281.114,0.992348
spillover,2291.746,0.992347
spillover,2299.263,0.992331
spillover,2309.072,0.992324
spillover,2314.580,0.992324
spillover,2323.715,0.992295
spillover,2331.653,0.992289
spillover,2338.566,0.992277
spillover,2342.147,0.992330
spillover,2351.839,0.992324
spillover,2361.095,0.992324
spillover,2369.659,0.992336
spillover,2377.001,0.992330
spillover,2382.288,0.992331
spillover,2390.337,0.992347
spillover,2394.468,0.992331
spillover,2403.690,0.992307
spillover,2412.911,0.992313
spillover,2420.683,0.992311
spillover,2426.582,0.992331
spillover,2432.397,0.992331
spillover,2440.168,0.992342
spillover,2448.869,0.992358
spillover,2462.349,0.992377
spillover,2474.251,0.992382
spillover,2478.548,0.992365
spillover,2484.877,0.992365
spillover,2487.917,0.992371
spillover,2498.426,0.992377
