series,minute_center,count
proactive (primary),245.500,0
proactive (primary),246.500,0
proactive (primary),247.500,0
proactive (primary),248.500,0
proactive (primary),249.500,0
proactive (primary),250.500,0
proactive (primary),251.500,0
proactive (primary),252.500,1
proactive (primary),253.500,0
proactive (primary),254.500,0
proactive (primary),255.500,0
proactive (primary),256.500,0
proactive (primary),257.500,0
proactive (primary),258.500,0
proactive (primary),259.500,0
proactive (primary),260.500,0
proactive (primary),261.500,0
proactive (primary),262.500,0
proactive (primary),263.500,0
proactive (primary),264.500,0
proactive (primary),265.500,0
proactive (primary),266.500,0
proactive (primary),267.500,0
proactive (primary),268.500,0
proactive (primary),269.500,0
proactive (primary),270.500,0
proactive (primary),271.500,0
proactive (primary),272.500,0
proactive (primary),273.500,0
proactive (primary),274.500,0
proactive (primary),275.500,0
proactive (primary),276.500,0
proactive (primary),277.500,0
proactive (primary),278.500,0
proactive (primary),279.500,0
proactive (primary),280.500,0
proactive (primary),281.500,0
proactive (primary),282.500,0
proactive (primary),283.500,0
proactive (primary),284.500,0
proactive (primary),285.500,0
proactive (primary),286.500,0
proactive (primary),287.500,0
proactive (primary),288.500,0
proactive (primary),289.500,0
proactive (primary),290.500,0
proactive (primary),291.500,0
proactive (primary),292.500,0
proactive (primary),293.500,0
proactive (primary),294.500,0
proactive (primary),295.500,0
proactive (primary),296.500,0
proactive (primary),297.500,0
proactive (primary),298.500,0
proactive (primary),299.500,0
proactive (primary),300.500,0
proactive (primary),301.500,0
proactive (primary),302.500,0
proactive (primary),303.500,0
proactive (primary),304.500,0
proactive (primary),305.500,0
proactive (primary),306.500,0
proactive (primary),307.500,0
proactive (primary),308.500,0
proactive (primary),309.500,0
proactive (primary),310.500,0
proactive (primary),311.500,0
proactive (primary),312.500,0
proactive (primary),313.500,0
proactive (primary),314.500,0
proactive (primary),315.500,0
proactive (primary),316.500,0
proactive (primary),317.500,0
proactive (primary),318.500,0
proactive (primary),319.500,0
proactive (primary),320.500,0
proactive (primary),321.500,0
proactive (primary),322.500,0
proactive (primary),323.500,0
proactive (primary),324.500,0
proactive (primary),325.500,0
proactive (primary),326.500,0
proactive (primary),327.500,0
proactive (primary),328.500,0
proactive (primary),329.500,0
proactive (primary),330.500,0
proactive (primary),331.500,0
proactive (primary),332.500,0
proactive (primary),333.500,0
proactive (primary),334.500,0
proactive (primary),335.500,0
proactive (primary),336.500,0
proactive (primary),337.500,0
proactive (primary),338.500,0
proactive (primary),339.500,1
proactive (primary),340.500,0
proactive (primary),341.500,0
proactive (primary),342.500,0
proactive (primary),343.500,0
proactive (primary),344.500,0
proactive (primary),345.500,0
proactive (primary),346.500,0
proactive (primary),347.500,0
proactive (primary),348.500,0
proactive (primary),349.500,0
proactive (primary),350.500,0
proactive (primary),351.500,0
proactive (primary),352.500,0
proactive (primary),353.500,0
proactive (primary),354.500,0
proactive (primary),355.500,0
proactive (primary),356.500,0
proactive (primary),357.500,0
proactive (primary),358.500,0
proactive (primary),359.500,0
proactive (primary),360.500,0
proactive (primary),361.500,0
proactive (primary),362.500,0
proactive (primary),363.500,0
proactive (primary),364.500,0
proactive (primary),365.500,0
proactive (primary),366.500,0
proactive (primary),367.500,0
proactive (primary),368.500,0
proactive (primary),369.500,0
proactive (primary),370.500,0
proactive (primary),371.500,0
proactive (primary),372.500,0
proactive (primary),373.500,0
proactive (primary),374.500,0
proactive (primary),375.500,0
proactive (primary),376.500,1
proactive (primary),377.500,0
proactive (primary),378.500,0
proactive (primary),379.500,0
proactive (primary),380.500,0
proactive (primary),381.500,0
proactive (primary),382.500,0
proactive (primary),383.500,0
proactive (primary),384.500,0
proactive (primary),385.500,0
proactive (primary),386.500,0
proactive (primary),387.500,0
proactive (primary),388.500,0
proactive (primary),389.500,0
proactive (primary),390.500,0
proactive (primary),391.500,0
proactive (primary),392.500,0
proactive (primary),393.500,0
proactive (primary),394.500,0
proactive (primary),395.500,0
proactive (primary),396.500,0
proactive (primary),397.500,0
proactive (primary),398.500,0
proactive (primary),399.500,0
proactive (primary),400.500,0
proactive (primary),401.500,0
proactive (primary),402.500,0
proactive (primary),403.500,0
proactive (primary),404.500,0
proactive (primary),405.500,0
proactive (primary),406.500,0
proactive (primary),407.500,0
proactive (primary),408.500,0
proactive (primary),409.500,0
proactive (primary),410.500,0
proactive (primary),411.500,0
proactive (primary),412.500,1
proactive (primary),413.500,1
proactive (primary),414.500,1
proactive (primary),415.500,1
proactive (primary),416.500,1
proactive (primary),417.500,1
proactive (primary),418.500,1
proactive (primary),419.500,1
proactive (primary),420.500,1
proactive (primary),421.500,1
proactive (primary),422.500,1
proactive (primary),423.500,1
proactive (primary),424.500,1
proactive (primary),425.500,1
proactive (primary),426.500,1
proactive (primary),427.500,1
proactive (primary),428.500,1
proactive (primary),429.500,1
