series,t_seconds,value
primary,6436.204,0.992264
primary,6470.799,0.992295
primary,6562.054,0.992342
primary,6571.882,0.992295
primary,6580.541,0.992311
primary,6585.736,0.992330
primary,6616.122,0.992304
primary,6649.978,0.992295
primary,6677.152,0.992365
primary,6711.354,0.992318
primary,6737.155,0.992365
primary,6772.590,0.992389
primary,6801.671,0.992342
primary,6833.209,0.992412
primary,6863.091,0.992436
primary,6890.095,0.992420
primary,6914.926,0.992342
primary,6950.451,0.992272
primary,6975.649,0.992389
primary,7012.175,0.992436
primary,7050.092,0.992412
primary,7066.690,0.992326
primary,7101.061,0.992311
primary,7130.470,0.992295
primary,7160.890,0.992279
primary,7187.730,0.992264
primary,7221.306,0.992272
primary,7251.820,0.992295
primary,7283.361,0.992342
primary,7307.522,0.992420
primary,7339.475,0.992404
primary,7369.040,0.992272
primary,7398.070,0.992295
primary,7430.647,0.992295
primary,7459.384,0.992295
primary,7488.874,0.992326
primary,7515.766,0.992311
primary,7550.250,0.992295
primary,7580.497,0.992365
primary,7609.793,0.992342
primary,7635.819,0.992358
primary,7672.255,0.992389
primary,7700.948,0.992342
primary,7733.203,0.992412
primary,7762.589,0.992436
primary,7791.962,0.992420
primary,7816.765,0.992342
primary,7851.381,0.992311
primary,7876.954,0.992389
primary,7909.534,0.992389
primary,7946.681,0.992412
primary,7967.352,0.992326
primary,8000.153,0.992311
primary,8030.460,0.992295
primary,8062.009,0.992248
primary,8089.564,0.992264
primary,8120.890,0.992264
primary,8152.221,0.992295
primary,8182.535,0.992342
primary,8207.212,0.992420
primary,8240.902,0.992404
primary,8273.975,0.992272
primary,8300.090,0.992295
primary,8329.894,0.992279
primary,8362.267,0.992295
primary,8391.124,0.992365
primary,8417.499,0.992311
primary,8451.391,0.992295
primary,8480.807,0.992365
primary,8511.956,0.992318
primary,8538.608,0.992358
primary,8573.192,0.992389
primary,8602.887,0.992342
primary,8632.995,0.992389
primary,8670.267,0.992436
primary,8691.155,0.992420
primary,8719.516,0.992342
primary,8753.981,0.992272
primary,8777.928,0.992342
primary,8812.372,0.992389
primary,8846.585,0.992412
primary,8870.868,0.992412
primary,8966.771,0.992342
primary,8976.031,0.992342
primary,8978.557,0.992420
primary,8995.362,0.992389
primary,9024.468,0.992361
primary,9051.603,0.992295
primary,9084.166,0.992279
primary,9112.353,0.992295
primary,9144.583,0.992365
primary,9168.022,0.992311
primary,9203.201,0.992326
primary,9231.842,0.992365
primary,9262.341,0.992342
primary,9288.577,0.992358
primary,9322.514,0.992389
primary,9358.746,0.992342
primary,9384.636,0.992412
primary,9414.986,0.992404
primary,9442.363,0.992420
primary,9469.190,0.992342
primary,9503.290,0.992272
primary,9530.425,0.992389
primary,9562.991,0.992389
primary,9599.327,0.992412
primary,9620.231,0.992326
primary,9654.127,0.992311
primary,9685.564,0.992295
primary,9715.452,0.992248
primary,9742.750,0.992264
primary,9773.215,0.992264
primary,9802.504,0.992295
primary,9832.584,0.992311
primary,9858.944,0.992420
primary,9894.184,0.992436
primary,9926.007,0.992272
primary,9957.410,0.992295
primary,9983.162,0.992279
primary,10012.127,0.992311
primary,10043.744,0.992365
primary,10069.249,0.992311
primary,10103.560,0.992326
primary,10134.996,0.992365
primary,10164.293,0.992318
primary,10191.009,0.992318
primary,10294.332,0.992248
primary,10303.092,0.992272
primary,10306.310,0.992342
primary,10314.902,0.992354
primary,10346.099,0.992370
primary,10371.049,0.992326
primary,10405.539,0.992311
primary,10436.008,0.992295
primary,10465.739,0.992248
primary,10493.396,0.992264
primary,10527.040,0.992272
primary,10557.355,0.992295
primary,10584.825,0.992311
primary,10611.670,0.992420
primary,10645.666,0.992436
primary,10676.590,0.992272
primary,10705.241,0.992295
primary,10734.433,0.992279
primary,10766.365,0.992295
primary,10794.770,0.992365
primary,10820.359,0.992311
primary,10854.704,0.992326
primary,10884.051,0.992365
primary,10914.666,0.992342
primary,10943.580,0.992358
primary,10977.033,0.992389
primary,11007.240,0.992342
primary,11037.653,0.992412
primary,11069.976,0.992436
primary,11093.914,0.992420
primary,11121.632,0.992342
primary,11158.137,0.992272
primary,11181.525,0.992342
primary,11216.763,0.992389
primary,11247.828,0.992412
primary,11273.172,0.992326
primary,11306.556,0.992311
primary,11336.863,0.992295
primary,11366.444,0.992279
primary,11393.904,0.992264
primary,11426.850,0.992272
primary,11458.006,0.992295
primary,11485.559,0.992311
primary,11511.104,0.992420
primary,11546.455,0.992436
primary,11575.356,0.992272
primary,11605.770,0.992295
primary,11635.513,0.992295
primary,11667.462,0.992295
primary,11693.730,0.992326
primary,11721.379,0.992365
primary,11812.448,0.992342
primary,11821.509,0.992412
primary,11833.182,0.992404
primary,11844.463,0.992401
primary,11874.159,0.992377
primary,11907.542,0.992272
primary,11933.449,0.992342
primary,11966.115,0.992389
primary,11998.982,0.992412
primary,12023.357,0.992326
primary,12057.455,0.992311
primary,12087.661,0.992295
primary,12116.643,0.992279
primary,12143.778,0.992264
primary,12179.211,0.992272
primary,12205.835,0.992295
primary,12236.411,0.992311
primary,12263.074,0.992420
primary,12298.198,0.992436
primary,12329.739,0.992272
primary,12355.725,0.992295
primary,12385.004,0.992279
primary,12416.502,0.992295
primary,12445.279,0.992365
primary,12472.254,0.992311
primary,12508.778,0.992295
primary,12536.278,0.992365
primary,12566.384,0.661561
primary,12596.182,0.661572
primary,12628.511,0.992389
primary,12656.912,0.992342
primary,12686.853,0.992389
primary,12722.475,0.992436
primary,12746.403,0.992420
primary,12774.259,0.992342
primary,12807.431,0.992272
primary,12834.772,0.992389
primary,12867.848,0.992436
primary,12899.257,0.992412
primary,12923.247,0.992326
primary,12960.195,0.992248
primary,12987.760,0.992342
primary,13062.352,0.992576
primary,13068.799,0.992436
primary,13080.346,0.992373
primary,13105.928,0.992365
primary,13137.162,0.992279
primary,13170.442,0.992295
primary,13196.277,0.992326
primary,13225.273,0.992311
primary,13257.620,0.992295
primary,13288.639,0.992365
primary,13316.818,0.992342
primary,13344.805,0.992358
primary,13378.611,0.992389
primary,13410.846,0.992342
primary,13439.283,0.992412
primary,13473.323,0.992436
primary,13498.105,0.992420
primary,13524.876,0.992342
primary,13556.170,0.992311
primary,13583.998,0.992342
primary,13620.487,0.992436
primary,13651.343,0.992412
primary,13675.011,0.992326
primary,13709.681,0.992311
primary,13740.587,0.992295
primary,13769.212,0.992279
primary,13798.321,0.992264
primary,13828.966,0.992264
primary,13857.822,0.992295
primary,13888.878,0.992311
primary,13915.823,0.992420
primary,13949.366,0.992436
primary,13978.813,0.992272
primary,14008.278,0.992295
primary,14037.757,0.992279
primary,14068.583,0.992248
primary,14164.969,0.992436
primary,14170.892,0.992389
primary,14176.318,0.992373
primary,14188.401,0.992401
primary,14220.950,0.992398
primary,14248.522,0.992389
primary,14275.158,0.992342
primary,14309.882,0.992272
primary,14336.101,0.992389
primary,14370.470,0.992436
primary,14401.275,0.992412
primary,14425.997,0.992326
primary,14461.457,0.992248
primary,14490.473,0.992295
primary,14520.980,0.992279
primary,14548.057,0.992264
primary,14578.437,0.992264
primary,14609.901,0.992295
primary,14640.088,0.992342
primary,14664.768,0.992420
primary,14700.300,0.992436
primary,14739.111,0.992272
primary,14760.117,0.992295
primary,14790.717,0.992279
primary,14818.418,0.992311
primary,14848.987,0.992326
primary,14875.485,0.992311
primary,14910.666,0.992295
primary,14938.943,0.992365
primary,14970.328,0.992342
primary,14995.904,0.992358
primary,15031.785,0.992389
primary,15061.614,0.992342
primary,15090.735,0.992389
primary,15125.326,0.992436
primary,15148.505,0.992420
primary,15177.359,0.992342
primary,15211.993,0.992272
primary,15236.465,0.992342
primary,15269.147,0.992389
primary,15303.948,0.992412
primary,15327.091,0.992326
primary,15363.690,0.992311
primary,15392.011,0.992295
primary,15421.914,0.992279
primary,15451.570,0.992264
primary,15481.301,0.992264
primary,15512.812,0.992295
primary,15540.412,0.992311
primary,15566.575,0.992420
primary,15599.987,0.992404
primary,15635.342,0.992272
primary,15661.017,0.992295
primary,15690.332,0.992279
primary,15719.076,0.992311
primary,15748.467,0.992326
primary,15776.628,0.992311
primary,15812.787,0.992295
primary,15839.192,0.992365
primary,15869.821,0.992342
primary,15897.652,0.992358
primary,15932.377,0.992389
primary,15964.385,0.992342
primary,15990.322,0.992389
primary,16023.514,0.992404
primary,16051.265,0.992389
primary,16078.909,0.992342
primary,16110.453,0.992311
primary,16137.693,0.992342
primary,16171.121,0.992436
primary,16207.777,0.992412
primary,16227.353,0.992326
primary,16264.565,0.992311
primary,16292.579,0.992295
primary,16323.612,0.992279
primary,16349.320,0.992264
primary,16382.888,0.992264
primary,16412.226,0.992295
primary,16441.614,0.992311
primary,16468.547,0.992420
primary,16500.956,0.992404
primary,16531.821,0.992272
primary,16561.099,0.992295
primary,16594.685,0.992295
primary,16622.275,0.992295
primary,16652.252,0.992326
primary,16679.546,0.992311
primary,16714.716,0.992295
primary,16742.847,0.992365
primary,16772.646,0.992342
primary,16798.326,0.992318
primary,16885.162,0.992248
primary,16893.324,0.992272
primary,16895.859,0.992342
primary,16921.320,0.992354
primary,16957.596,0.992412
primary,16980.516,0.992326
primary,17012.478,0.992311
primary,17044.448,0.992295
primary,17071.478,0.992279
primary,17101.686,0.992264
primary,17134.761,0.992272
primary,17163.196,0.992295
primary,17194.052,0.992311
primary,17220.162,0.992420
primary,17252.642,0.992404
primary,17286.469,0.992272
primary,17311.401,0.992295
primary,17342.016,0.992279
primary,17373.165,0.992295
primary,17402.090,0.992365
primary,17430.210,0.992311
primary,17464.584,0.992295
primary,17493.555,0.992365
primary,17525.828,0.992318
primary,17551.365,0.992358
primary,17585.118,0.992358
primary,17612.375,0.992342
primary,17644.701,0.992389
primary,17676.357,0.992436
primary,17705.324,0.992389
primary,17731.653,0.992342
primary,17763.619,0.992311
primary,17790.737,0.992342
primary,17825.801,0.992436
primary,17855.687,0.992412
primary,17880.951,0.992326
primary,17917.201,0.992248
primary,17944.166,0.992295
primary,17976.594,0.992279
primary,18002.220,0.992264
primary,18035.954,0.992264
primary,18066.431,0.992295
primary,18094.968,0.992311
primary,18121.210,0.992420
primary,18153.565,0.992404
primary,18184.782,0.992272
primary,18214.265,0.992295
primary,18243.241,0.992279
primary,18273.657,0.992311
primary,18303.617,0.992365
primary,18330.157,0.992311
primary,18365.833,0.992295
primary,18393.010,0.992365
primary,18424.799,0.992342
primary,18450.705,0.992358
primary,18485.831,0.992389
